PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,ZIP
9/1/2015,75,67,58,94107
9/2/2015,73,68,62,94107
9/3/2015,70,65,60,94107
9/4/2015,72,64,55,94107
9/5/2015,79,65,51,94107
9/6/2015,84,68,52,94107
9/7/2015,91,73,54,94107
9/8/2015,95,76,57,94107
9/9/2015,93,77,60,94107
9/10/2015,89,74,59,94107
9/11/2015,79,70,60,94107
9/12/2015,75,67,58,94107
9/13/2015,76,68,59,94107
9/14/2015,73,67,60,94107
9/15/2015,70,65,59,94107
9/16/2015,73,66,58,94107
9/17/2015,73,65,57,94107
9/18/2015,79,67,54,94107
9/19/2015,88,71,53,94107
9/20/2015,91,74,56,94107
9/21/2015,91,76,61,94107
9/22/2015,66,62,57,94107
9/23/2015,76,64,52,94107
9/24/2015,89,73,56,94107
9/25/2015,75,66,57,94107
9/26/2015,74,65,55,94107
9/27/2015,73,65,56,94107
9/28/2015,70,62,54,94107
9/29/2015,68,64,60,94107
9/30/2015,65,61,57,94107
10/1/2015,73,67,60,94107
10/2/2015,74,64,54,94107
10/3/2015,71,62,53,94107
10/4/2015,73,63,52,94107
10/5/2015,76,65,53,94107
10/6/2015,75,66,56,94107
10/7/2015,76,67,58,94107
10/8/2015,82,68,54,94107
10/9/2015,80,67,53,94107
10/10/2015,72,67,61,94107
10/11/2015,76,66,56,94107
10/12/2015,85,69,53,94107
10/13/2015,88,73,58,94107
10/14/2015,78,68,58,94107
10/15/2015,70,66,61,94107
10/16/2015,74,67,60,94107
10/17/2015,71,66,60,94107
10/18/2015,71,66,61,94107
10/19/2015,70,64,58,94107
10/20/2015,80,67,53,94107
10/21/2015,77,64,51,94107
10/22/2015,73,63,52,94107
10/23/2015,75,63,51,94107
10/24/2015,75,63,51,94107
10/25/2015,70,63,56,94107
10/26/2015,75,66,56,94107
10/27/2015,72,64,56,94107
10/28/2015,70,63,56,94107
10/29/2015,74,63,52,94107
10/30/2015,76,62,48,94107
10/31/2015,75,64,53,94107
11/1/2015,70,63,55,94107
11/2/2015,64,58,51,94107
11/3/2015,66,56,45,94107
11/4/2015,67,56,45,94107
11/5/2015,65,54,43,94107
11/6/2015,67,56,45,94107
11/7/2015,67,55,43,94107
11/8/2015,62,55,47,94107
11/9/2015,59,54,49,94107
11/10/2015,61,52,42,94107
11/11/2015,61,50,39,94107
11/12/2015,64,52,40,94107
11/13/2015,69,56,42,94107
11/14/2015,64,52,40,94107
11/15/2015,62,32,1,94107
11/16/2015,62,54,46,94107
11/17/2015,62,56,49,94107
11/18/2015,64,53,41,94107
11/19/2015,67,55,43,94107
11/20/2015,68,57,45,94107
11/21/2015,73,58,42,94107
11/22/2015,63,53,43,94107
11/23/2015,59,52,45,94107
11/24/2015,58,53,47,94107
11/25/2015,54,46,38,94107
11/26/2015,56,46,35,94107
11/27/2015,59,47,34,94107
11/28/2015,58,49,39,94107
11/29/2015,55,45,35,94107
11/30/2015,53,44,35,94107
12/1/2015,56,48,39,94107
12/2/2015,56,50,43,94107
12/3/2015,59,50,41,94107
12/4/2015,59,50,41,94107
12/5/2015,54,47,40,94107
12/6/2015,63,54,44,94107
12/7/2015,59,54,49,94107
12/8/2015,61,54,46,94107
12/9/2015,66,60,53,94107
12/10/2015,62,56,49,94107
12/11/2015,58,51,43,94107
12/12/2015,57,48,39,94107
12/13/2015,56,52,47,94107
12/14/2015,56,50,44,94107
12/15/2015,62,49,35,94107
12/16/2015,56,47,37,94107
12/17/2015,58,48,38,94107
12/18/2015,59,52,45,94107
12/19/2015,56,51,46,94107
12/20/2015,53,46,39,94107
12/21/2015,57,54,50,94107
12/22/2015,59,56,52,94107
12/23/2015,56,52,47,94107
12/24/2015,55,48,41,94107
12/25/2015,53,44,35,94107
12/26/2015,55,45,34,94107
12/27/2015,49,40,30,94107
12/28/2015,48,42,36,94107
12/29/2015,52,42,32,94107
12/30/2015,53,44,34,94107
12/31/2015,54,44,34,94107
1/1/2016,52,44,35,94107
1/2/2016,53,48,43,94107
1/3/2016,59,52,44,94107
1/4/2016,62,55,47,94107
1/5/2016,55,52,49,94107
1/6/2016,54,51,48,94107
1/7/2016,58,50,42,94107
1/8/2016,53,48,42,94107
1/9/2016,56,53,49,94107
1/10/2016,58,53,48,94107
1/11/2016,60,55,49,94107
1/12/2016,62,55,47,94107
1/13/2016,59,53,46,94107
1/14/2016,56,50,43,94107
1/15/2016,60,53,46,94107
1/16/2016,61,56,51,94107
1/17/2016,59,58,56,94107
1/18/2016,63,58,52,94107
1/19/2016,62,57,52,94107
1/20/2016,60,53,46,94107
1/21/2016,62,56,50,94107
1/22/2016,60,57,54,94107
1/23/2016,58,55,51,94107
1/24/2016,58,50,42,94107
1/25/2016,60,55,49,94107
1/26/2016,60,52,43,94107
1/27/2016,63,55,47,94107
1/28/2016,59,52,44,94107
1/29/2016,61,58,54,94107
1/30/2016,59,55,51,94107
1/31/2016,57,53,49,94107
2/1/2016,58,50,42,94107
2/2/2016,58,50,42,94107
2/3/2016,57,49,40,94107
2/4/2016,62,54,45,94107
2/5/2016,63,52,40,94107
2/6/2016,62,52,43,94107
2/7/2016,74,59,44,94107
2/8/2016,79,66,52,94107
2/9/2016,70,58,46,94107
2/10/2016,68,58,48,94107
2/11/2016,74,61,48,94107
2/12/2016,66,57,47,94107
2/13/2016,66,59,51,94107
2/14/2016,71,59,47,94107
2/15/2016,74,63,51,94107
2/16/2016,76,63,50,94107
2/17/2016,69,61,52,94107
2/18/2016,63,57,50,94107
2/19/2016,63,56,49,94107
2/20/2016,60,51,42,94107
2/21/2016,64,53,41,94107
2/22/2016,69,57,44,94107
2/23/2016,68,56,44,94107
2/24/2016,70,58,45,94107
2/25/2016,72,61,49,94107
